id,name,latitude,longitude,website
278577264,,43.8641558,-78.8222613,
278605200,Faro do Roncudo,43.274917,-8.990514,
278650794,Leitfeuer Nebel,54.6453259,8.3612109,
278680435,Kaiserschleuse Ostfeuer (Pingelturm),53.5536501,8.5599427,
278773863,,52.5270395,-9.9295222,
278862447,Cloch Lighthouse,55.9423494,-4.8787982,
279399049,Far des cap de Barbaria,38.6411172,1.3895245,
279464803,,42.3966174,-8.8010949,
279937798,Leuchtturm Podersdorf,47.8604368,16.8266273,
280275246,Antennenträger Schillig (ehem.Oberfeuer),53.7004313,8.0214639,
280710576,,43.4136613,-8.1757566,
280776476,,53.6459214,7.1482638,
281356861,Grotto Point Lighthouse,-33.8177323,151.2615567,
281596262,Phare solaire du Cap Cerbère,42.4395194,3.1766797,
281755658,Faro di Capo Mele,43.9552935,8.1721735,
281984905,,65.6972701,23.096964,
282049360,Faro di Portofino,44.2986619,9.2183732,
282358637,Alnes fyr,62.4899617,5.9673277,
282532243,Big Tub Lighthouse,45.2576784,-81.6727817,http://www.brucecoastlighthouses.com/lighthouses/big-tub-lighthouse/
282640509,Danger Point Lighthouse,-34.6304138,19.3024855,
282687469,,38.9330765,-0.0926552,
283046956,Egypt Point Light (Disused),50.7672992,-1.3138958,
283073859,Leuchtfeuer Dahmeshöved,54.2017768,11.0902386,
283421552,Farol de Santa Marta,-28.6042142,-48.8139584,
283479609,,54.0721498,-4.6492515,
283514747,,54.0727857,-4.6502231,
283671333,Sassnitz Ostmolenfeuer,54.5060122,13.6373423,
285662722,Hvalnesviti,64.4022432,-14.5401157,
286746302,Chanonry Lighthouse,57.5740327,-4.0927545,
286764100,,24.3715493,120.5800717,
287046728,,55.5173054,-5.0606881,
289010448,Belle Tout lighthouse,50.7382917,0.2146282,
289101759,Petersdorf Oberfeuer,54.1310098,12.1209537,
289118554,樫野埼灯台,33.4716039,135.861936,
289356575,Faro de Cabo de Gata,36.7216544,-2.1928803,
